,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,智,1836,1224,4352,1.5,12,チ    Name Readings:  さと    さとし    さとる    さとい    とも    のり    とし    あきら    じ    とみ    ひと    もと    よも    ,"wisdom, intellect, reason "
,暉,3991,2440,5A76,1.5,13,キ    かが.やく    Name Readings:  てる    ,"shine, light "
,暢,1890,2885,442A,1.5,14,チョウ    のび.る    Name Readings:  いたる    のぶ    のぶる    なが    とうる    とおる    のり    まさ    みつる    よう    ,stretch 
,曙,1298,2448,3D6C,1.5,17,ショ    あけぼの    ,"dawn, daybreak "
,曝,2250,2447,4778,1.5,19,バク    ホク    ボク    さら.す    ,"bleach, refine, expose, air "
,曳,134,2848,3148,1.5,7,エイ    ひ.く    Name Readings:  ひき    びき    ,"pull, tug, jerk, admit, install, quote, refer to "
,曾,1627,,413D,1.5,12,ソウ    ソ    ゾウ    かつ.て    か.って    すなわち    ,"once, before, formerly, ever, never, ex- "
,朋,2538,19,4A7E,1.5,8,ホウ    とも    ,"companion, friend "
,朔,1023,2846,3A73,1.5,10,サク    ついたち    Name Readings:  たち    ,"conjunction (astronomy), first day of month "
,李,2817,2511,4D7B,1.5,7,リ    すもも    Name Readings:  もも    い    ,plum 
,杏,41,203,3049,1.5,7,キョウ    アン    コウ    あんず    Name Readings:  りょう    ,apricot 
,杓,1189,2510,3C5D,1.5,7,シャク    チョウ    テキ    ヒョウ    ひしゃく    ,"ladle, scoop "
,杖,1399,2504,3E73,1.5,7,ジョウ    つえ    ,"staff, cane "
,杜,2020,2500,454E,1.5,7,ト    トウ    ズ    もり    ふさ.ぐ    やまなし    ,"woods, grove "
,杢,2693,,4C5D,1.5,7,モク    ,"woodworker, (kokuji) "
,杭,872,2484,393A,1.5,8,コウ    くい    Name Readings:  わたる    ,"stake, post, picket "
,杵,517,2503,354F,1.5,8,ショ    ソ    きね    Name Readings:  き    ,wooden pestle 
,杷,2201,2501,4747,1.5,8,ハ    つか    Name Readings:  わ    ,kind of rake 
,枇,2346,2519,487A,1.5,8,ビ    ヒ    ,spoon 
,柁,1732,,4248,1.5,9,ダ    タ    かじ    ,"rudder, helm, wheel "
,柊,2352,2485,4922,1.5,9,シュ    シュウ    ひいらぎ    ,holly 
,柏,2242,199,4770,1.5,9,ハク    ヒャク    ビャク    かしわ    Name Readings:  かい    かし    ,oak 
,柑,403,2482,343B,1.5,9,コン    カン    ,"citrus, orange "
,柘,1931,2517,4453,1.5,9,シャ    ジャク    そ    つげ    やまぐわ    Name Readings:  つ    ,wild mulberry 
,柚,2740,2486,4D2E,1.5,9,ユ    ユウ    ジク    ゆず    ,citron 
,柴,1166,2044,3C46,1.5,10,サイ    シ    しば    ,"brush, firewood "
,柾,2617,2489,4B6F,1.5,9,まさ    まさめ    まさき    ,"straight grain, spindle tree, (kokuji) "
,栂,1926,2488,444E,1.5,9,つが    とが    ,"hemlock, (kokuji) "
,栖,1524,2497,4034,1.5,10,セイ    す.む    Name Readings:  す    すみ    ,"nest, rookery, hive, cobweb, den "
,栗,668,1609,372A,1.5,10,リツ    リ    くり    おののく    Name Readings:  くる    りっ    ,chestnut 
,栞,4056,2523,5B59,1.5,10,カン    しおり    ,"bookmark, guidebook "
,栴,1587,,4073,1.5,10,セイ    セン    もみじ    ,"maple tree, colorful autumn foliage "
,桂,701,198,374B,1.5,10,ケイ    かつら    Name Readings:  かつ    よし    か    ,"Japanese Judas-tree, cinnamon tree "
,桐,609,204,364D,1.5,10,トウ    ドウ    きり    Name Readings:  ひさ    き    ,paulownia 
,桓,404,,343C,1.5,10,カン    ,marking post 
,桔,513,2499,354B,1.5,10,キツ    ケツ    Name Readings:  き    ,used in plant names 
,桶,207,2530,3233,1.5,11,ヨウ    トウ    おけ    ,"tub, bucket "
,梁,2854,2299,4E42,1.5,11,リョウ    はり    うつばり    うちばり    やな    はし    ,"weir, fish trap, beam, girder "
,梓,20,1498,3034,1.5,11,シ    あずさ    ,catalpa tree 
,梢,1347,201,3E3F,1.5,11,ショウ    こずえ    くすのき    ,"treetops, twig "
,梧,824,3003,3868,1.5,11,ゴ    あおぎり    ,"Chinese parasol tree, phoenix tree "
,梯,1964,2479,4474,1.5,11,テイ    タイ    はしご    Name Readings:  だい    ,"ladder, stairs, insatiable drinking "
,梱,953,2518,3A2D,1.5,11,コン    こう.る    こうり    こり    しきみ    ,"pack, tie up, bale "
,梶,347,2502,3361,1.5,11,ビ    かじ    こずえ    ,sculling oar 
,棉,2673,2512,4C49,1.5,12,メン    わた    ,cotton 
,棲,1523,2496,4033,1.5,12,セイ    す.む    Name Readings:  ずみ    ,"live, dwell "
,椀,2962,2487,4F50,1.5,12,ワン    はち    ,wooden or lacquered bowl 
,椋,2658,2474,4C3A,1.5,12,リョウ    むく    Name Readings:  ぐら    ,"type of deciduous tree, grey starling "
,椙,1500,2528,3F7A,1.5,12,すぎ    ,"Japanese cedar, cryptomeria "
,椛,363,,3371,1.5,11,かば    もみじ    ,"birch, maple "
,椰,4124,2524,5C3F,1.5,13,ヤ    やし    ,coconut tree 
,椴,2114,,464E,1.5,13,タン    ダン    トド    むくげ    ,fir 
,椿,1936,1569,4458,1.5,13,チン    チュン    つばき    Name Readings:  つば    ,camellia 
,楊,2770,2473,4D4C,1.5,13,ヨウ    かわ    やなぎ    Name Readings:  やな    ,willow 
,楓,2436,2471,4976,1.5,13,フウ    かえで    ,maple 
,楕,1734,2531,424A,1.5,13,ダ    タ    ,ellipse 
,楚,1629,,413F,1.5,13,ソ    ショ    いばら    しもと    すわえ    ,"whip, cane "
,楠,2147,1614,466F,1.5,13,ナン    ダン    ゼン    ネン    くす    くすのき    Name Readings:  くず    な    ,camphor tree 
,楢,2142,2493,466A,1.5,13,シュウ    ユウ    なら    ,oak 
,楯,1283,2513,3D5D,1.5,13,ジュン    たて    ,"shield, buckler, pretext "
,楳,2226,,4760,1.5,13,バイ    うめ    ,plum 
,榊,1011,2490,3A67,1.5,13,さかき    ,"sacred shinto tree, (kokuji) "
,榎,155,2514,315D,1.5,14,カ    えのき    Name Readings:  え    えの    ,lotus tree 
,榛,1436,2475,3F3A,1.5,14,シン    ハン    はしばみ    はり    Name Readings:  はい    はる    ,"hazelnut, filbert "
,槌,1920,2477,4448,1.5,13,ツイ    つち    ,"hammer, mallet "
,槍,1666,2516,4164,1.5,14,ソウ    ショウ    やり    Name Readings:  うつ    ,"spear, lance, javelin "
,槙,2612,2492,4B6A,1.5,14,テン    シン    まき    こずえ    ,"twig, ornamental evergreen "
,槻,1928,2527,4450,1.5,15,キ    つき    ,Zelkova tree 
,樋,2341,2520,4875,1.5,14,トウ    ひ    とい    Name Readings:  て    と    とよ    とわ    ,"water pipe, gutter, downspout, conduit "
,樗,1870,2526,4374,1.5,15,チョ    おおち    おうち    Name Readings:  ちょう    ,Japanese bead tree 
,樟,1348,,3E40,1.5,15,ショウ    くす    ,camphor 
,樫,345,2491,335F,1.5,16,かし    ,"evergreen oak, (kokuji) "
,樵,1349,2478,3E41,1.5,16,ショウ    きこ.る    こ.る    きこり    ,"woodcutting, lumberjack "
,樺,364,2515,3372,1.5,14,カ    かば    かんば    Name Readings:  から    かも    かん    ,birch 
,樽,1800,2506,432E,1.5,16,ソン    たる    ,"barrel, cask, keg "
,橘,514,2494,354C,1.5,16,キツ    たちばな    Name Readings:  きっ    ,mandarin orange 
,橡,2111,,464B,1.5,16,ショウ    ゾウ    とち    くぬぎ    ,horse chestnut 
,橿,346,2509,3360,1.5,17,キョウ    かし    もちのき    ,oak 
,檀,1827,2525,4349,1.5,17,ダン    タン    まゆみ    ,"cedar, sandlewood, spindle tree "
,檎,825,2050,3869,1.5,17,キン    ゴン    ゴ    ,"pear, apple "
,檜,4055,2964,5B58,1.5,17,カイ    ひのき    ひ    ,Japanese cypress 
,檮,4076,,5B6D,1.5,18,トウ    Name Readings:  し    ,"stump, foolish, ignorant "
,櫓,2920,2508,4F26,1.5,19,ロ    やぐら    おおだて    ,"oar, tower "
,櫛,655,2476,367B,1.5,17,シツ    くし    くしけず.る    ,comb 
,欣,617,2888,3655,1.5,8,キン    ゴン    コン    よろこ.ぶ    よろこ.び    Name Readings:  やすし    よし    し    ,"take pleasure in, rejoice "
,欽,618,3004,3656,1.5,12,キン    コン    つつし.む    Name Readings:  よし    ひとし    ,"respect, revere, long for "
,歎,1809,2859,4337,1.5,14,タン    なげ.く    なげ.き    ,"grief, lamentation "
,此,941,2043,3A21,1.5,6,シ    こ.れ    こ.の    ここ    ,"this, current, next, coming, last, past "
,歪,2950,2862,4F44,1.5,9,ワイ    エ    いが.む    いびつ    ひず.む    ゆが.む    ,"warp, bend, strained, distort "
,殆,2594,2871,4B58,1.5,9,タイ    サイ    ほとほと    ほとん.ど    あやうい    ,"almost, quite, really "
,毅,473,2889,3523,1.5,15,キ    ギ    つよ.い    Name Readings:  つよし    こわし    たけし    たけ    はたす    あつし    つよ    とし    み    ,strong 
,毘,2347,,487B,1.5,9,ヒ    ビ    たす.ける    ,"help, assist "
,毬,4247,2533,5D5C,1.5,11,キュウ    いが    まり    ,"burr, ball "
,汀,1965,2312,4475,1.5,5,テイ    みぎわ    なぎさ    Name Readings:  て    ,"water's edge, shore, bank "
,汐,1142,110,3C2E,1.5,6,セキ    しお    うしお    せい    Name Readings:  いそ    ,"eventide, tide, salt water, opportunity "
,汝,2150,2303,4672,1.5,6,ジョ    なんじ    なれ    ,"you, thou "
,汲,536,2322,3562,1.5,7,キュウ    く.む    Name Readings:  くみ    ,"draw (water), ladle, scoop, pump "
,沌,2125,2326,4659,1.5,7,トン    くら.い    ,primeval chaos 
,沓,661,,3723,1.5,8,トウ    くつ    ,"shoes, boots "
,沫,2625,218,4B77,1.5,8,マツ    バツ    あわ    しぶき    つばき    ,"splash, suds "
,洛,2802,2302,4D6C,1.5,9,ラク    ,"Kyoto, the capital "
,洩,138,2849,314C,1.5,9,エイ    セツ    も.らす    の.びる    も.れる    ,"leak, escape "
,洲,1229,2289,3D27,1.5,9,シュウ    ス    しま    ,"continent, sandbar, island, country "
,洵,4294,2290,5E2D,1.5,9,ジュン    シュン    の.ぶ    まこと.に    ,"alike, truth "
,洸,4292,2286,5E2B,1.5,9,コウ    Name Readings:  ひろ    ひろし    たけし    ひかり    ,sparkling water 
,浩,878,2311,3940,1.5,10,コウ    おおき.い    ひろ.い    Name Readings:  ひろ    ひろし    ゆたか    こお    ,"wide expanse, abundance, vigorous "
,浬,311,2951,333D,1.5,10,リ    かいり    のっと    ,"knot, nautical mile "
,涌,2742,,4D30,1.5,10,ユウ    ヨウ    ユ    わ.く    ,"boil, ferment, seethe, uproar, breed "
,涜,2102,2297,4642,1.5,10,トク    トウ    けが.す    けが.れ    みぞ    ,"defile, blaspheme, ditch "
,淀,2794,2330,4D64,1.5,11,テン    デン    よど.む    ,"pool, eddy "
,淋,2872,2310,4E54,1.5,11,リン    さび.しい    さみ.しい    ,"lonely, deserted "
,淘,2055,,4571,1.5,11,トウ    よな.げる    ,select 
,淳,1285,2318,3D5F,1.5,11,ジュン    シュン    あつ.い    Name Readings:  あつ    あつし    きよ    きよし    まこと    すなお    ,pure 
,淵,2449,2966,4A25,1.5,12,エン    カク    コウ    ふち    かた.い    はなわ    ,"abyss, edge, deep pool, the depths "
,渚,1299,1263,3D6D,1.5,11,ショ    なぎさ    Name Readings:  なぎ    ,"strand, beach, shore "
,渠,554,,3574,1.5,12,キョ    かれ    なんぞ    なに    みぞ    いずくんぞ    Name Readings:  だかり    ,"ditch, canal, lock "
,渥,15,2320,302F,1.5,12,アク    あつ.い    うるお.う    Name Readings:  あつし    ,kindness 
,湊,2643,2309,4C2B,1.5,12,ソウ    みなと    あつ.まる    ,"port, harbor "
,湘,1353,,3E45,1.5,12,ショウ    ,"name of Chinese river, the sagami river "
,湛,1811,2317,4339,1.5,12,タン    チン    しず.む    たた.える    Name Readings:  かん    ,"fill, wear (a smile) "
,溌,2270,2307,482E,1.5,12,ハツ    も.る    とびち.る    そそ.ぐ    ,"sprinkle, lively, vigorous "
,溜,2835,2324,4E2F,1.5,13,リュウ    た.まる    たま.る    た.める    したた.る    たまり    ため    ,"collect, gather, be in arrears "
,溢,78,2315,306E,1.5,13,イツ    こぼ.れる    あふ.れる    み.ちる    ,"overflow, inundate, spill "
,滉,4351,2287,5E66,1.5,13,コウ    ひろ.い    ,deep and broad 
,漉,933,2304,3977,1.5,14,ロク    こ.し    こ.す    す.く    ,"manufacture paper, spread out thin, strain, percolate "
,漑,4365,,5E74,1.5,15,ガイ    カイ    そそ.ぐ    ,pour 
,漕,1668,1175,4166,1.5,14,ソウ    こ.ぐ    はこ.ぶ    ,"rowing, skull, paddle "
,漣,2910,,4E7A,1.5,13,レン    ラン    さざなみ    ,ripples 
,漱,4372,2288,5E7B,1.5,14,ソウ    シュウ    ス    くちすす.ぐ    くちそそ.ぐ    うがい    すす.ぐ    ,"gargle, rinse mouth "
,潅,411,2314,3443,1.5,14,カン    そそ.ぐ    ,"pour into, irrigate, shed (tears, flow into, concentrate on "
,澗,410,,3442,1.5,15,カン    ケン    たに    たにみず    Name Readings:  ま    ,"valley river, 10**36 "
,澪,4401,2285,5F3A,1.5,16,レイ    みお    ,"water route, shipping channel "
,澱,2009,2300,4543,1.5,16,デン    テン    おり    ど.ろ    よど.み    よど.む    ,"sediment, grounds, dregs, stagnant "
,濠,920,2306,396A,1.5,17,ゴウ    コウ    ほり    ,"moat, ditch, canal, Australia "
,濡,2170,2329,4728,1.5,17,ジュ    ニュ    ぬれ.る    ぬら.す    ぬ.れる    ぬ.らす    うるお.い    うるお.う    うるお.す    ,"get wet, damp, make love "
,濤,4306,,5E39,1.5,17,トウ    なみ    ,"waves, billows "
,瀕,2396,2305,494E,1.5,20,ヒン    ほとり    ,"shore, brink, verge "
,瀞,2120,2323,4654,1.5,17,セイ    ショウ    ジュウ    とろ    きよ.い    ,"pure water, clear water, pool in a river "
,瀦,1871,,4375,1.5,18,チョ    みずたまり    Name Readings:  ずま    ,"pool, puddle "
,灘,2139,2321,4667,1.5,21,タン    ダン    なだ    せ    Name Readings:  だな    なん    ,open sea 
,灸,538,2538,3564,1.5,7,キュウ    ク    やいと    ,"moxa cautery, chastisement "
,灼,1190,2544,3C5E,1.5,7,シャク    あらた    やく    ,miraculous 
,烏,102,1944,3128,1.5,10,ウ    オ    からす    いずくんぞ    なんぞ    ,"crow, raven "
,烹,2541,2549,4B23,1.5,10,ホウ    に.る    ,"boil, cook "
,焔,169,2546,316B,1.5,12,エン    ほのお    ,"flame, blaze "
,焚,2462,2537,4A32,1.5,12,フン    ホン    ハン    た.く    や.く    やきがり    ,"burn, kindle, build a fire, boil, cook "
,煉,2911,2542,4E7B,1.5,12,レン    ね.る    ,"refine metals, kneading over fire "
,煤,2227,2541,4761,1.5,13,バイ    マイ    すす    ,"soot, smoke dried "
,煽,1594,2540,407A,1.5,14,セン    あお.る    おだ.てる    おこ.る    ,"fan, flap, instigate, agitate, bolster up, gulp down "
,熔,2774,2547,4D50,1.5,14,ヨウ    と.ける    と.かす    いがた    ,"fuse, melt "
,熙,6355,,7426,1.5,15,キ    たのし.む    ひか.る    ひろ.い    よろこ.ぶ    かわ.く    あきらか    ひろ.める    ひろ.まる    ,"bright, sunny, prosperous, merry "
,燎,4464,2535,5F79,1.5,16,リョウ    かがりび    ,"burn, bonfire "
,燐,2873,2052,4E55,1.5,16,リン    ,phosphorus 
,燕,171,2869,316D,1.5,16,エン    つばめ    つばくら    つばくろ    ,swallow (bird) 
,燦,1058,2543,3B38,1.5,17,サン    さん.たる    あき.らか    きらめ.く    きら.めく    ,brilliant 
,燭,1414,2539,3F24,1.5,17,ソク    ショク    ともしび    ,"light, candlepower "
,燿,4471,2534,6022,1.5,18,ヨウ    かがや.く    ひかり    ,shine 
,爺,2708,2334,4C6C,1.5,13,ヤ    じい    じじい    おやじ    じじ    ちち    ,"old man, grampa "
,爾,1132,2074,3C24,1.5,14,ジ    ニ    なんじ    しかり    その    のみ    Name Readings:  ちか    しか    み    ,"you, thou, second person "
,牌,2217,2873,4757,1.5,12,ハイ    ぱい    ふだ    ,"label, signboard, medal, mahjong tiles "
,牒,1893,2926,442D,1.5,13,チョウ    ジョウ    ふだ    ,"label, genealogy, circular "
,牝,2670,2551,4C46,1.5,6,ヒン    めす    め-    めん    ,female 
,牟,2654,2961,4C36,1.5,6,ボウ    ム    ,"pupil (eye), moo (cow sound) "
,牡,208,2552,3234,1.5,7,ボ    ボウ    おす    お-    おん-    ,male 
,牢,2934,2213,4F34,1.5,7,ロウ    かた.い    ひとや    ,"prison, jail, hardness "
,牽,755,2550,3823,1.5,11,ケン    ひ.く    ,"pull, tug, jerk, admit, install, quote, refer to "
,犀,992,2069,3A54,1.5,11,サイ    セイ    ,rhinocerous 
,狐,801,2342,3851,1.5,9,コ    きつね    ,fox 
,狗,637,2341,3669,1.5,8,ク    コウ    いぬ    ,"puppy, dog "
,狛,939,2343,397D,1.5,8,ハク    こま    ,"archaic part of Korea, lion-dog shrine guards "
,狸,1798,2338,432C,1.5,10,リ    ライ    たぬき    ,"tanuki, raccoon "
,狼,2935,2339,4F35,1.5,10,ロウ    おおかみ    ,wolf 
,狽,2228,2340,4762,1.5,10,ケン    バイ    ハイ    ,"wolf, be flurried "
,猪,1872,1262,4376,1.5,11,チョ    い    いのしし    Name Readings:  いの    ,boar 
,猷,2744,,4D32,1.5,13,ユウ    ヨウ    はかりごと    はか.る    ,"plan, scheme, plan, plot, way "
,獅,1100,2345,3B62,1.5,13,シ    しし    ,lion 
,玖,638,2565,366A,1.5,7,キュウ    ク    Name Readings:  たま    き    ひさ    ,"beautiful black jewel, nine "
,玲,2892,2568,4E68,1.5,9,レイ    Name Readings:  たま    あきら    あき    りょう    れ    ,sound of jewels 
,珂,237,,3251,1.5,9,カ    Name Readings:  が    ,jewel 
,珊,1059,2561,3B39,1.5,8,サン    せんち    さんち    ,"stagger, loneliness, centimeter "
,珪,688,2564,373E,1.5,10,ケイ    たま    ,jade scepter or tablet (authority symbol) 
,琉,2836,2557,4E30,1.5,11,リュウ    ル    ,lapis lazuli 
,琢,1778,2560,4276,1.5,11,タク    みが.く    Name Readings:  あや    たか    ,polish 
,琳,2874,2554,4E56,1.5,12,リン    ,"jewel, tinkling of jewelry "
,琵,2348,2912,487C,1.5,12,ビ    ヒ    ,"glissando on strings, lute "
,琶,2204,2913,474A,1.5,12,ハ    ベ    ワ    ,lute 
,瑚,826,2562,386A,1.5,13,コ    ゴ    ,ancestral offering receptacle 
,瑛,139,2566,314D,1.5,12,エイ    Name Readings:  ヨウ    あき    あきら    てる    え    ,"sparkle of jewelry, crystal "
,瑞,1490,2563,3F70,1.5,13,ズイ    スイ    みず-    しるし    Name Readings:  たま    ず    みつ    ,congratulations 
,瑳,968,2559,3A3C,1.5,14,サ    みが.く    ,polish 
,瑶,4555,2553,6076,1.5,13,ヨウ    たま    ,beautiful as a jewel 
,瓜,121,1877,313B,1.5,5,カ    ケ    うり    Name Readings:  う    ,melon 
,瓢,2377,2911,493B,1.5,17,ヒョウ    ひさご    ふくべ    ,gourd 
,甑,935,,3979,1.5,15,ソウ    ショウ    こしき    ,rice-steaming pot 
,甜,2002,,453C,1.5,11,テン    うま.い    あま.い    ,sweet 
,甥,183,2910,3179,1.5,13,セイ    ソウ    ショウ    おい    むこ    ,nephew 
,甫,2511,2097,4A63,1.5,7,ホ    フ    はじ.めて    Name Readings:  はじめ    とし    なみ    すけ    よし    ,"for the first time, not until "
,畠,2267,2916,482B,1.5,10,はたけ    はた    Name Readings:  はな    ,"field, farm, garden, (kokuji) "
,畢,2363,2570,492D,1.5,10,ヒツ    おわ.る    あみ    おわ.り    ことごとく    ,"the end, finish "
,畦,703,2571,374D,1.5,11,ケイ    あぜ    うね    ,"rice paddy ridge, furrow, rib "
,畷,2145,2072,466D,1.5,13,テツ    テイ    セイ    なわて    ,rice field ridge path 
,疋,2355,2098,4925,1.5,5,ヒキ    ショ    ソ    ヒツ    あし    ,"head, counter for animals "
,疏,1631,2922,4141,1.5,12,ソ    ショ    あら.い    うと.い    うと.む    とお.る    とお.す    まばら    ,"estrangement, sparseness, neglect "
,疹,1440,2574,3F3E,1.5,10,シン    チン    はしか    ,"measles, sickness "
,痔,1134,2575,3C26,1.5,11,ヂ    ジ    しもがさ    ,"piles, hemorrhoids "
,癌,442,2576,3462,1.5,17,ガン    ,"cancer, cancerous evil "
,皐,1043,2070,3B29,1.5,11,コウ    さつき    Name Readings:  たかし    ,"swamp, shore "
,皓,4668,2934,622B,1.5,12,コウ    しろ.い    ひか.る    Name Readings:  あきら    てる    あき    ひろ    ひろし    ,"white, clear "
,盃,2216,,4756,1.5,9,ハイ    さかずき    ,"glass, cup "
,盈,140,,314E,1.5,9,エイ    み.たす    み.ちる    Name Readings:  みつ    ,"fullness, enough, pride, satisfy "
,眸,4697,2580,6248,1.5,11,ボウ    ム    ひとみ    ,pupil of the eye 
,瞥,2489,2927,4A4D,1.5,17,ベツ    ヘツ    ,glance at 
,矧,2236,,476A,1.5,9,シン    は.ぐ    いわ.んや    はぐき    はぎ    ,feather (arrow) 
,矩,639,2585,366B,1.5,10,ク    かね    かねざし    さしがね    Name Readings:  のり    つね    ただし    ,"ruler, carpenter's square "
,砥,2028,2590,4556,1.5,10,シ    テイ    キイ    チ    と    といし    と.ぐ    みが.く    たいら.にする    ,"whetstone, grindstone "
,砦,994,2045,3A56,1.5,11,サイ    とりで    ,"fort, stronghold, entrenchments "
,砧,516,,354E,1.5,10,チン    きぬた    ,fulling block 
,砺,2029,2595,4557,1.5,10,レイ    あらと    みが.く    Name Readings:  と    ,"whetstone, polish "
,硯,759,2589,3827,1.5,12,ケン    ゲン    すずり    ,inkstone 
,硲,2259,,4823,1.5,12,はざま    Name Readings:  さこ    はざ    ,"ravine, gorge, gap "
,碇,1966,2587,4476,1.5,13,テイ    いかり    ,"anchor, grapnel "
,碍,305,2592,3337,1.5,13,ガイ    ゲ    さまた.げる    ,obstacle 
,碓,110,2596,3130,1.5,13,カク    タイ    たし.か    かく.たる    Name Readings:  う    うす    ,pestle 
,碗,2964,2591,4F52,1.5,13,ワン    こばち    ,"porcelain bowl, tea cup "
,碧,2487,2588,4A4B,1.5,14,ヘキ    ヒャク    Name Readings:  みどり    あお    たま    ,"blue, green "
,碩,1561,2593,4059,1.5,14,セキ    おお.きい    ,"large, great, eminent "
,磐,2312,2586,4858,1.5,15,バン    ハン    いわ    Name Readings:  いわお    わ    ,"rock, crag, cliff, wall (in a mine) "
,磯,75,2594,306B,1.5,17,キ    いそ    Name Readings:  し    そ    ,"seashore, beach "
,礦,4729,,6268,1.5,20,コウ    あらがね    ,"mine, mineral, ore "
,祁,681,,3737,1.5,8,キ    ケ    ,"intense, large "
,祇,502,2600,3540,1.5,8,ギ    キ    シ    くにつかみ    ただ    まさに    ,"national or local god, peaceful, great "
,祐,2746,2599,4D34,1.5,9,ユウ    ウ    たす.ける    Name Readings:  すけ    さち    よし    たすく    ひろ    ひろし    まさ    ,help 
,祢,2172,2601,472A,1.5,9,ネ    デイ    ナイ    ,ancestral shrine 
,祷,2062,2598,4578,1.5,19,トウ    いの.る    いの.り    まつ.る    ,pray 
,禄,2943,2602,4F3D,1.5,12,ロク    さいわ.い    ふち    Name Readings:  とし    よし    ,"fief, allowance, pension, grant, happiness "
,禎,1967,2603,4477,1.5,13,テイ    さいわ.い    ただ.しい    Name Readings:  さだ    ただし    よし    さち    とも    のり    ,happiness 
,禦,560,2597,357A,1.5,17,ギョ    ゴ    ふせ.ぐ    ,"defend, protect, resist, ward off "
,禽,621,2049,3659,1.5,13,キン    とり    とりこ    ,"bird, captive, capture "
,禾,239,,3253,1.5,5,カ    いね    T2のぎ    のぎへん    ,2-branch tree 
,禿,2105,2606,4645,1.5,7,トク    ちび.る    かむろ    は.げる    はげ    ,"become bald, bare, wear out, waste away, little girl employed at a brothel "
,秤,2235,2604,4769,1.5,10,ショウ    ヒン    ビン    はかり    ,"balances, scales, steelyard "
,秦,1443,2877,3F41,1.5,10,シン    はた    Name Readings:  たい    はだ    やす    ,"Manchu dynasty, name given to naturalized foreigners "
,稀,479,2611,3529,1.5,12,キ    ケ    まれ    まばら    ,"rare, phenomenal, dilute (acid) "
,稔,2645,2607,4C2D,1.5,13,ネン    ジン    ニン    みの.る    みのり    Name Readings:  とし    なる    なり    みのる    ね    み    ,"harvest, ripen "
,稗,2353,2608,4923,1.5,13,ハイ    ヒ    ひえ    ,"humble, deccan grass "
,稜,2859,2610,4E47,1.5,13,リョウ    ロウ    いつ    かど    ,"angle, edge, corner, power, majesty "
,穆,2590,2612,4B54,1.5,16,ボク    モク    やわ.らぐ    ,"respectful, mild, beautiful "
,穎,141,2790,314F,1.5,16,エイ    ほさき    のぎ    ,"heads of grain, cleverness "
,穣,1403,2609,3E77,1.5,18,ジョウ    わら    ゆたか    Name Readings:  しげ    みのる    ,"good crops, prosperity, 10**28 "
,穿,1596,2616,407C,1.5,9,セン    うが.つ    は.く    ,"put on (to the feet), dig, pierce, drill "
,窄,1025,2614,3A75,1.5,10,サク    すぼ.める    つぼ.める    せま.い    ,"narrow, fold, furl, shrug, pucker, shut, close "
,窪,664,1323,3726,1.5,14,ワ    ア    くぼ.む    くぼ.み    くぼ.まる    くぼ    ,"depression, cave in, sink, become hollow "
,窺,108,2613,312E,1.5,16,キ    うかが.う    のぞく    ,"lie in wait, spy on, reconnoiter "
,竃,368,2617,3376,1.5,17,ソウ    かまど    かま    へっつい    ,"kitchen stove, furnace, oven, hearth "
,竣,1277,2062,3D57,1.5,12,ドウ    シュン    わらわ    わらべ    おわ.る    ,"end, finish "
,竪,1794,2618,4328,1.5,14,ジュ    たて    た.てる    こども    ,"length, height, warp "
,竺,1147,2642,3C33,1.5,8,ジク    チク    トク    Name Readings:  あつし    ,bamboo 
,竿,416,2632,3448,1.5,9,カン    さお    ,"pole, rod, scale beam, violin neck "
,笈,542,2644,3568,1.5,9,キュウ    Name Readings:  おい    ,backpack bookcase 
,笙,4840,2628,6379,1.5,11,ショウ    ソウ    ふえ    ,a reed instrument 
,笠,344,939,335E,1.5,11,リュウ    かさ    ,"bamboo hat, one's influence "
,笥,1468,2635,3F5A,1.5,11,ス    シ    け    はこ    ,"lunch box, clothes chest "
,笹,1031,940,3A7B,1.5,11,ささ    Name Readings:  さ    さき    しの    じね    ,bamboo grass 
,筈,2262,2646,4826,1.5,12,カツ    はず    やはず    ,"notch of an arrow, ought, must, should be, expected "
,筏,2277,2629,4835,1.5,12,バツ    ハツ    ボチ    いかだ    ,raft 
,筑,1848,2637,435E,1.5,12,チク    Name Readings:  つく    づき    ,an ancient musical instrument 
,箆,2491,2633,4A4F,1.5,14,ヘイ    ハイ    へら    の    くし    ,"spatula, arrow shaft "
,箔,2245,2634,4773,1.5,14,ハク    すだれ    ,"foil, gilt "
,箕,2639,2643,4C27,1.5,14,キ    み    Name Readings:  みの    ,winnowing 
,箪,1815,2631,433D,1.5,15,タン    はこ    ,bamboo rice basket 
,箭,1597,2636,407D,1.5,15,セン    や    ,arrow 
,篇,2495,2645,4A53,1.5,15,ヘン    ,"volume, chapter, book, editing, compilation "
,篠,1164,2639,3C44,1.5,17,ゾウ    ショウ    しの    ささ    Name Readings:  の    ,"also N3428, bamboo grass "
,簸,2342,2647,4876,1.5,19,ハ    ひ.る    ,"winnow, fan "
,簾,2912,2630,4E7C,1.5,19,レン    すだれ    す    Name Readings:  みす    ,"bamboo screen, rattan blind "
,籾,2698,2651,4C62,1.5,9,もみ    ,"unhulled rice, (kokuji) "
,粁,610,2946,364E,1.5,9,キロメートル    ,"kilometer, (kokuji) "
