,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,北,2582,445,4B4C,9,5,ホク    きた    Name Readings:  きら    ほう    ほっ    ほつ    ,north 
,午,817,568,3861,9,4,ゴ    うま    ,"noon, sign of the horse, 11AM-1PM, seventh sign of Chinese zodiac "
,半,2286,1202,483E,9,5,ハン    なか.ば    Name Readings:  は    ,"half, middle, odd number, semi-, part- "
,南,2146,1613,466E,9,9,ナン    ナ    みなみ    Name Readings:  なみ    は    みな    みまみ    ,south 
,原,774,134,3836,9,10,ゲン    はら    Name Readings:  た    ばる    ら    わた    わら    ,"meadow, original, primitive, field, plain, prairie, tundra, wilderness "
,友,2733,704,4D27,9,4,ユウ    とも    Name Readings:  う    ど    ゆ    ,friend 
,古,789,16,3845,9,5,コ    ふる.い    ふる-    -ふる.す    Name Readings:  ふゆ    ,old 
,台,1762,744,4266,9,5,ダイ    タイ    うてな    われ    つかさ    ,"pedestal, a stand, counter for machines and vehicles "
,合,917,253,3967,9,6,ゴウ    ガッ    カッ    あ.う    -あ.う    あ.い    あい-    -あ.い    -あい    あ.わす    あ.わせる    -あ.わせる    Name Readings:  あう    あん    い    か    こう    ごお    に    ね    や    り    わい    ,"fit, suit, join, 0.1 "
,同,2085,180,4631,9,6,ドウ    おな.じ    ,"same, agree, equal "
,回,271,586,3273,9,6,カイ    エ    まわ.る    -まわ.る    -まわ.り    まわ.す    -まわ.す    まわ.し-    -まわ.し    もとお.る    か.える    ,"-times, round, game, revolve, counter for occurrences "
,図,1472,1180,3F5E,9,7,ズ    ト    え    はか.る    Name Readings:  づ    ,"map, drawing, plan, unexpected, accidentally "
,国,927,581,3971,9,8,コク    くに    Name Readings:  くな    こ    ,country 
,園,158,585,3160,9,13,エン    その    Name Readings:  おん    ぞの    ,"park, garden, yard, farm "
,地,1833,515,434F,9,6,チ    ジ    Name Readings:  どま    ,"ground, earth "
,場,1392,545,3E6C,9,12,ジョウ    チョウ    ば    ,"location, place "
,声,1532,1896,403C,9,7,セイ    ショウ    こえ    こわ-    ,voice 
,売,2230,323,4764,9,7,バイ    う.る    う.れる    Name Readings:  うり    うる    め    ,sell 
,夏,226,296,3246,9,10,カ    ガ    ゲ    なつ    ,summer 
,外,298,111,3330,9,5,ガイ    ゲ    そと    ほか    はず.す    はず.れる    と-    Name Readings:  うい    け    ふか    ,outside 
,多,1723,108,423F,9,6,タ    おお.い    まさ.に    まさ.る    ,"many, frequent, much "
,夜,2707,1037,4C6B,9,8,ヤ    よ    よる    ,"night, evening "
,太,1724,120,4240,9,4,タイ    タ    ふと.い    ふと.る    Name Readings:  おお    たか    ひろ    ,"plump, thick, big around "
,妹,2607,220,4B65,9,8,マイ    いもうと    Name Readings:  す    せ    も    ,younger sister 
,姉,1082,413,3B50,9,8,シ    あね    はは    ,elder sister 
,室,1156,754,3C3C,9,9,シツ    むろ    ,"room, apartment, chamber, greenhouse, cellar "
,家,228,541,3248,9,10,カ    ケ    いえ    や    うち    Name Readings:  あり    え    く    つか    べ    ,"house, home "
,寺,1125,158,3B7B,9,6,ジ    てら    ,Buddhist temple 
,少,1331,106,3E2F,9,4,ショウ    すく.ない    すこ.し    ,"few, little "
,岩,444,770,3464,9,8,ガン    いわ    ,"boulder, rock, cliff "
,工,855,76,3929,9,3,コウ    ク    グ    Name Readings:  もく    T2たくみ    ,"craft, construction "
,市,1086,412,3B54,9,5,シ    いち    Name Readings:  い    ち    ,"market, city, town "
,帰,472,1230,3522,9,10,キ    かえ.る    かえ.す    おく.る    とつ.ぐ    ,"homecoming, arrive at, lead to, result in "
,広,859,739,392D,9,5,コウ    ひろ.い    ひろ.まる    ひろ.める    ひろ.がる    ひろ.げる    ,"wide, broad, spacious "
,店,1999,588,4539,9,8,テン    みせ    たな    ,"store, shop "
